text,intent
this is my first conversation,hru.q
ya ya ya,hobbies.q
hello hello,greeting
how is your day?,hru.q
let's keep this simple,encouragement.s
bye,greeting
this is my first c0nveksatiun,hru.q
hello he1lo,greeting
how is your day ?,hru.q
1et ' s keep this simple,encouragement.s
6ye,greeting
this is my first convRrsaGioM,hru.q
hello helKo,greeting
let ' s keep this qimple,encouragement.s
this is my firTst conversation,hru.q
hello he4llo,greeting
let ' s keep this simple,encouragement.s
thGs is my first conversation,hru.q
helZo hello,greeting
this is my ifrst conversation,hru.q
ehllo hello,greeting
let ' s keep thsi simple,encouragement.s
this is my first onvesatio,hru.q
hello helo,greeting
let ' s eep this simple,encouragement.s
this [[ist my first conversation,hru.q
ya ya you,hobbies.q
helo hello,greeting
have is your day ?,hru.q
let ' s keep this simplies,encouragement.s
BUY,greeting
this is my world class conversation,hru.q
hi hello,greeting
how be your day ?,hru.q
let ' s hold on this simple,encouragement.s
so long,greeting
t his is my first conversation,hru.q
hello h ello,greeting
how is y our day ?,hru.q
let ' s keep this simp le,encouragement.s
