text,intent
this is my first conversation,hru.q
ya ya ya,hobbies.q
hello hello,greeting
how is your day?,hru.q
let's keep this simple,encouragement.s
bye,greeting
this is my first c0nvek8ation,hru.q
hello he1lo,greeting
how is your day ?,hru.q
let ' s keep this simple,encouragement.s
6ye,greeting
thiX is my first conversation,hru.q
hello h4llo,greeting
this is my firs#t conversation,hru.q
hello hel1lo,greeting
let ' s keeMp this simple,encouragement.s
this is my first co)dersati5n,hru.q
helco hello,greeting
ehllo hello,greeting
this is my frst conversation,hru.q
ello hello,greeting
let ' s keep this smple,encouragement.s
this is my firist conversation,hru.q
you ya ya,hobbies.q
helo hello,greeting
how IS your day ?,hru.q
let ' s keep tihs simple,encouragement.s
by,greeting
this is my initiatory conversation,hru.q
hello hullo,greeting
let ' s preserve this simple,encouragement.s
goodbye,greeting
this is my first conversa tion,hru.q
hello h ello,greeting
how is yo ur day ?,hru.q
let ' s k eep this simple,encouragement.s
